text,true_label,predicted_label,prob_F,prob_PE,prob_LF,prob_US,prob_A,prob_SE,prob_FT,prob_SC,prob_PO,prob_O,prob_MN,prob_L
product shall audit capabilitiesthe product shall store messages minimum one year audit transaction tracking purposes,SE,O,0.011568914167582989,0.05641297996044159,0.05712352693080902,0.03054041601717472,0.1115121841430664,0.09290457516908646,0.09375238418579102,0.08309701085090637,0.027098868042230606,0.26230522990226746,0.12533552944660187,0.048348382115364075
recycled parts search results provided estimator shall retrieved system,F,F,0.9701874256134033,0.001371402875520289,0.0047125727869570255,0.0053871264681220055,0.0010798386065289378,0.003885815618559718,0.0028216338250786066,0.0012346935691311955,0.0009253968601115048,0.004190825391560793,0.0023056510835886,0.0018977049039676785
users able access streaming movies 2 clicks logging website,US,SE,0.03323397785425186,0.05544263869524002,0.025803379714488983,0.308462530374527,0.015658728778362274,0.4675562381744385,0.023112574592232704,0.009111514315009117,0.014623870141804218,0.016745485365390778,0.016338925808668137,0.013910211622714996
product shall available 24 hours per day seven days per week,A,A,0.00948137417435646,0.06009285897016525,0.02167169749736786,0.023427553474903107,0.4820755422115326,0.010854646563529968,0.03175520896911621,0.11848306655883789,0.04830344766378403,0.09152098745107651,0.0688813179731369,0.033452216535806656
system shall help user avoid making mistakes scheduling classes clinicals nursing students,US,F,0.5527684688568115,0.011589192785322666,0.04483472928404808,0.3009558916091919,0.0054976968094706535,0.0197250135242939,0.021723676472902298,0.004786419682204723,0.00584612088277936,0.008127657696604729,0.01491008885204792,0.00923498347401619
system shall display detailed invoice current order confirmed,F,F,0.9817091226577759,0.00067566626239568,0.0027427987661212683,0.0019778551068156958,0.000809122109785676,0.0032673648092895746,0.0015567446826025844,0.0009701389935798943,0.0008137415861710906,0.0022508488036692142,0.001319674658589065,0.00190687773283571
system use secured database,SE,SE,0.009582923725247383,0.00601800624281168,0.0038715002592653036,0.0017145592719316483,0.0044149793684482574,0.9203932881355286,0.0078065358102321625,0.0042312415316700935,0.006223939824849367,0.022542573511600494,0.003350747050717473,0.009849637746810913
leads washing functionality store potential lead duplicates returned enterprise system,F,F,0.9731378555297852,0.000695396214723587,0.00434633856639266,0.0022613704204559326,0.000997426686808467,0.004464651923626661,0.0021244927775114775,0.0013167030410841107,0.001092036021873355,0.004659642465412617,0.0025879754684865475,0.0023161203134804964
system shall interface faculty central server,O,O,0.016713198274374008,0.006565063260495663,0.015260234475135803,0.0028130384162068367,0.014251720160245895,0.02847418189048767,0.012349178083240986,0.025864148512482643,0.028257247060537338,0.8177977800369263,0.02182101458311081,0.009833152405917645
product shall internet browser independentthe product must run using internet explorer netscape navigator,MN,O,0.005653867963701487,0.010795485228300095,0.024593571200966835,0.010903260670602322,0.0361931249499321,0.018884945660829544,0.01527947373688221,0.03622422739863396,0.1397438496351242,0.6531565189361572,0.030475318431854248,0.01809634454548359
staff members shall able complete set tasks timely manner,PE,US,0.0517234280705452,0.04633450135588646,0.03251733258366585,0.7464019656181335,0.01569470204412937,0.009755199775099754,0.029033103957772255,0.017102651298046112,0.006858353037387133,0.011535273864865303,0.025899261236190796,0.0071441964246332645
system may throttled slowed heavy loads ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE,O,0.00653933035209775,0.2010107934474945,0.018843548372387886,0.014327066019177437,0.09035036712884903,0.0891493409872055,0.06871147453784943,0.07901168614625931,0.02133549004793167,0.3362286686897278,0.04894205927848816,0.025550177320837975
system allow customers pay streaming movie prepaid card,F,F,0.8717571496963501,0.0023335658479481936,0.005135495215654373,0.0051323301158845425,0.002941275481134653,0.06431042402982712,0.005743457470089197,0.003965666051954031,0.003524643136188388,0.025677023455500603,0.004233465995639563,0.00524555891752243
calculations performed system must comply according norms set user vary unless explicitly changed user,L,SE,0.1839018613100052,0.015602425672113895,0.03499893844127655,0.01270943321287632,0.013612163253128529,0.4629197120666504,0.02713644690811634,0.010778536088764668,0.01787678524851799,0.03129099681973457,0.022661665454506874,0.16651101410388947
